Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
295,3009.7,3,1,12,2,3012.45,3015.33,2.74878,
296,3030.08,1,0,15,2,3030.08,3037.52,0,
297,3044.19,1,0,16,2,3044.19,3045.24,0,
298,3068.4,1,0,18,2,3068.4,3068.72,0,
299,3103.34,1,0,22,2,3103.34,3104.26,0,
300,3106.82,1,0,22,2,3106.82,3116.91,0,
301,3118.51,1,0,23,2,3118.51,3132.17,0,
302,3127.89,2,0,24,2,3132.17,3133.82,4.27856,
303,3134.49,1,0,25,2,3134.49,3134.92,0,
304,3135.14,1,0,25,2,3135.14,3136.6,0,
305,3148.08,1,0,26,2,3148.08,3150.46,0,
306,3152.93,1,0,27,2,3152.93,3161.54,0,
307,3155.12,2,0,27,2,3161.54,3169.68,6.41968,
308,3156.14,3,1,27,2,3169.68,3175.27,13.54,
309,3161.02,4,2,28,2,3175.27,3183.26,14.2498,
310,3163.23,4,2,28,2,3183.26,3184.52,20.031,
311,3166.64,5,3,28,2,3184.52,3186.74,17.8757,
312,3171.1,5,3,29,2,3186.74,3188.41,15.6438,
313,3177.38,5,3,29,2,3188.41,3204.14,11.0269,
314,3183.31,5,3,30,2,3204.14,3207.88,20.8254,
315,3227.05,1,0,34,2,3227.05,3231.35,0,
316,3244.42,1,0,36,2,3244.42,3245.64,0,
317,3251.59,1,0,37,2,3251.59,3254.43,0,
318,3263.59,1,0,38,2,3263.59,3271.45,0,
319,3270.84,2,0,39,2,3271.45,3271.68,0.605469,
320,3285.2,1,0,40,2,3285.2,3286.58,0,
321,3286.73,1,0,40,2,3286.73,3289.54,0,
322,3287.38,2,0,40,2,3289.54,3293.29,2.16846,
323,3291.5,2,0,41,2,3293.29,3297.13,1.79053,
324,3297.45,1,0,41,2,3297.45,3299.46,0,
325,3310.85,1,0,43,2,3310.85,3322.15,0,
326,3310.89,2,0,43,2,3322.15,3325.15,11.2617,
327,3313.18,3,1,43,2,3325.15,3330.87,11.9785,
328,3325,3,1,44,2,3330.87,3337.06,5.86426,
329,3330.57,3,1,45,2,3337.06,3342.14,6.4873,
330,3347.2,1,0,46,2,3347.2,3349.25,0,
331,3350.58,1,0,47,2,3350.58,3353.68,0,
332,3358.63,1,0,47,2,3358.63,3366.65,0,
333,3381.16,1,0,50,2,3381.16,3382.61,0,
334,3390.09,1,0,51,2,3390.09,3392.73,0,
335,3390.23,2,0,51,2,3392.73,3398.01,2.5022,
336,3400.35,1,0,52,2,3400.35,3401.2,0,
337,3401.04,2,0,52,2,3401.2,3404.6,0.155029,
338,3413.57,1,0,53,2,3413.57,3418.08,0,
339,3415.35,2,0,53,2,3418.08,3429.65,2.7229,
340,3415.65,3,1,53,2,3429.65,3442.62,13.9954,
341,3441.49,2,0,56,2,3442.62,3443.18,1.13037,
342,3467.87,1,0,58,2,3467.87,3472.7,0,
343,3472.66,2,0,59,2,3472.7,3474.48,0.0407715,
344,3480.26,1,0,60,2,3480.26,3481.32,0,
345,3483.04,1,0,60,2,3483.04,3496.91,0,
346,3490.54,2,0,61,2,3496.91,3499.46,6.37354,
347,3498.08,2,0,61,2,3499.46,3501.21,1.38574,
348,3498.92,3,1,61,2,3501.21,3503.23,2.28809,
349,3502.9,2,0,62,2,3503.23,3509.33,0.33252,
350,3528.02,1,0,64,2,3528.02,3530.15,0,
351,3536.12,1,0,65,2,3536.12,3538.33,0,
352,3543.1,1,0,66,2,3543.1,3547.96,0,
353,3543.84,2,0,66,2,3547.96,3549.18,4.12598,
354,3597.73,1,0,71,2,3597.73,3599.07,0,
355,3597.99,2,0,71,2,3599.07,3599.8,1.08179,
356,3599.5,2,0,71,2,3599.8,3600.15,0.297607,
357,3629.54,1,0,74,2,3629.54,3630.92,0,
358,3637.96,1,0,75,2,3637.96,3640.94,0,
359,3652.83,1,0,77,2,3652.83,3662.99,0,
360,3663.03,1,0,78,2,3663.03,3663.12,0,
361,3679.46,1,0,79,2,3679.46,3680.38,0,
362,3687.36,1,0,80,2,3687.36,3688.51,0,
363,3690.21,1,0,81,2,3690.21,3700.56,0,
364,3697.15,2,0,81,2,3700.56,3708.44,3.41089,
365,3705.84,2,0,82,2,3708.44,3710.58,2.59937,
366,3708.14,3,1,82,2,3710.58,3714.71,2.4375,
367,3734.28,1,0,85,2,3734.28,3737.08,0,
368,3769.46,1,0,88,2,3769.46,3774.48,0,
369,3774.98,1,0,89,2,3774.98,3776.01,0,
370,3795.25,1,0,91,2,3795.25,3798.23,0,
371,3799.2,1,0,91,2,3799.2,3799.22,0,
372,3804.31,1,0,92,2,3804.31,3806.82,0,
373,3807.12,1,0,92,2,3807.12,3824.49,0,
374,3825.74,1,0,94,2,3825.74,3825.84,0,
375,3843.94,1,0,96,2,3843.94,3847.25,0,
376,3844.3,2,0,96,2,3847.25,3852.52,2.94873,
377,3854.65,1,0,97,2,3854.65,3859,0,
378,3873.67,1,0,99,2,3873.67,3885.16,0,
379,3879.75,2,0,99,2,3885.16,3886.58,5.40576,
380,3884.08,3,1,100,2,3886.58,3890.66,2.50122,
381,3890.62,2,0,101,2,3890.66,3895.19,0.0397949,
382,3895.83,1,0,101,2,3895.83,3896.47,0,
383,3913.87,1,0,103,2,3913.87,3918.05,0,
384,3927.88,1,0,104,2,3927.88,3929.38,0,
385,3941.86,1,0,106,2,3941.86,3946.72,0,
386,3954.2,1,0,107,2,3954.2,3954.61,0,
387,3964.03,1,0,108,2,3964.03,3964.6,0,
388,3970.48,1,0,109,2,3970.48,3980.72,0,
389,3971.29,2,0,109,2,3980.72,3993.07,9.43652,
390,3975.14,3,1,109,2,3993.07,4001.23,17.9336,
391,3997.23,2,0,111,2,4001.23,4005.33,3.99634,
392,4023.23,1,0,114,2,4023.23,4026.27,0,
393,4030.3,1,0,115,2,4030.3,4032.95,0,
394,4034.69,1,0,115,2,4034.69,4051.1,0,
395,4049.06,2,0,116,2,4051.1,4052.28,2.03833,
396,4067.06,1,0,118,2,4067.06,4068.99,0,
397,4069.82,1,0,118,2,4069.82,4078.05,0,
398,4075.61,2,0,119,2,4078.05,4079.12,2.44385,
399,4076.4,3,1,119,2,4079.12,4081.17,2.71899,
400,4081.09,2,0,120,2,4081.17,4089.6,0.0827637,
401,4082.45,2,0,120,2,4089.6,4090.43,7.15356,
402,4082.9,3,1,120,2,4090.43,4096.16,7.52734,
403,4085.22,4,2,120,2,4096.16,4096.17,10.9409,
404,4091.03,3,1,121,2,4096.17,4097.3,5.14331,
405,4094.76,4,2,121,2,4097.3,4098.09,2.53613,
406,4097.39,2,0,121,2,4098.09,4098.77,0.702148,
407,4113.79,1,0,123,2,4113.79,4119.92,0,
408,4116.83,2,0,123,2,4119.92,4120.55,3.09229,
409,4126.9,1,0,124,2,4126.9,4131.69,0,
410,4135.99,1,0,125,2,4135.99,4146.58,0,
411,4141.99,2,0,126,2,4146.58,4147.69,4.58301,
412,4158.48,1,0,127,2,4158.48,4164.38,0,
413,4168.02,1,0,128,2,4168.02,4173.11,0,
414,4182.69,1,0,130,2,4182.69,4205.2,0,
415,4200.49,2,0,132,2,4205.2,4206.01,4.70215,
416,4201.61,3,1,132,2,4206.01,4207.96,4.40283,
417,4202.84,4,2,132,2,4207.96,4208.41,5.11865,
418,4213.23,1,0,133,2,4213.23,4215.04,0,
419,4213.28,2,0,133,2,4215.04,4218.86,1.76074,
420,4218.36,2,0,133,2,4218.86,4224.57,0.501953,
421,4218.43,3,1,133,2,4224.57,4232.95,6.1416,
422,4227.59,2,0,134,2,4232.95,4235.4,5.35742,
423,4240.6,1,0,136,2,4240.6,4240.99,0,
424,4245.1,1,0,136,2,4245.1,4248.61,0,
425,4256.86,1,0,137,2,4256.86,4272.86,0,
426,4261.7,2,0,138,2,4272.86,4277.24,11.1611,
427,4263.24,3,1,138,2,4277.24,4286.27,13.9956,
428,4277.81,2,0,139,2,4286.27,4288.58,8.45557,
429,4282.62,3,1,140,2,4288.58,4288.86,5.96045,
430,4285.13,4,2,140,2,4288.86,4295.05,3.72559,
431,4294.42,2,0,141,2,4295.05,4301.06,0.632324,
432,4301.09,1,0,142,2,4301.09,4310.93,0,
433,4317.67,1,0,143,2,4317.67,4325.39,0,
434,4319.46,2,0,143,2,4325.39,4326.41,5.92432,
435,4336.3,1,0,1,3,4336.3,4342.29,0,
436,4353.51,1,0,3,3,4353.51,4361.19,0,
437,4358.27,2,0,3,3,4361.19,4364.78,2.91504,
438,4368.32,1,0,4,3,4368.32,4375.58,0,
439,4380.66,1,0,6,3,4380.66,4391.04,0,
440,4383.81,2,0,6,3,4391.04,4396.35,7.22803,
441,4388.92,3,1,6,3,4396.35,4400.27,7.42725,
442,4406.87,1,0,8,3,4406.87,4411.46,0,
443,4409.58,2,0,8,3,4411.46,4431.79,1.87939,
444,4414.35,2,0,9,3,4431.79,4433.97,17.4458,
445,4420.5,3,1,10,3,4433.97,4437.57,13.4751,
446,4461.68,1,0,14,3,4461.68,4467.6,0,
447,4480.04,1,0,16,3,4480.04,4481.23,0,
448,4488.12,1,0,16,3,4488.12,4493.37,0,
449,4553.74,1,0,23,3,4553.74,4560.07,0,
450,4559.98,2,0,23,3,4560.07,4562.76,0.0888672,
451,4562,2,0,24,3,4562.76,4579.94,0.758789,
452,4565.37,2,0,24,3,4579.94,4592.54,14.5757,
453,4581.23,2,0,26,3,4592.54,4597.49,11.3115,
454,4587.77,3,1,26,3,4597.49,4606.39,9.71826,
455,4596.01,3,1,27,3,4606.39,4610.63,10.3862,
456,4600.39,3,1,28,3,4610.63,4617.06,10.2456,
457,4600.67,4,2,28,3,4617.06,4632.09,16.3857,
458,4602.76,5,3,28,3,4632.09,4633.1,29.3237,
459,4609.42,5,3,28,3,4633.1,4646.7,23.6812,
460,4625,4,2,30,3,4646.7,4651.65,21.7095,
461,4639.79,3,1,31,3,4651.65,4668.63,11.8613,
462,4641.14,4,2,32,3,4668.63,4669.64,27.4927,
463,4653.04,3,1,33,3,4669.64,4674.43,16.5928,
464,4676.94,1,0,35,3,4676.94,4688.82,0,
465,4700.02,1,0,38,3,4700.02,4700.44,0,
466,4700.97,1,0,38,3,4700.97,4702.87,0,
467,4705.53,1,0,38,3,4705.53,4705.83,0,
468,4706.72,1,0,38,3,4706.72,4708.4,0,
469,4714.44,1,0,39,3,4714.44,4720.04,0,
