Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
190,2787.01,1,134,1,1,0,9,0,0,3,2797.75,2802.09,10.7354,
191,2800.51,2,136,1,1,0,8,1,0,3,2810.64,2813.8,10.1255,
192,2825.07,1,138,1,1,0,8,0,0,3,2835.1,2837.99,10.0383,
193,2903.77,1,2,2,1,0,8,0,0,2,2915.3,2919.03,11.5305,
194,2969.27,1,8,2,1,0,8,0,0,2,2979.65,2983.95,10.3721,
195,3013.42,1,13,2,1,0,5,0,0,1,3023.26,3028.29,9.84473,
196,3047.42,1,16,2,1,0,5,0,0,1,3058.36,3064,10.9468,
197,3071.9,1,19,2,1,0,5,0,0,1,3082.51,3087.27,10.613,
198,3101.1,1,22,2,1,0,5,0,0,1,3112.16,3117.91,11.0623,
199,3131.59,1,25,2,1,0,5,0,0,1,3141.83,3147.09,10.24,
200,3183.74,1,30,2,1,0,5,0,0,1,3193.07,3197.14,9.32983,
201,3194.62,2,31,2,1,0,5,1,0,1,3204.46,3208.43,9.8374,
202,3235.19,1,35,2,1,0,5,0,0,1,3244.55,3248.8,9.36011,
203,3247.92,2,36,2,1,0,5,1,0,1,3258.64,3262.75,10.7249,
204,3255.21,2,37,2,2,0,5,0,0,1,3266.04,3271.9,10.8313,
205,3261.35,3,38,2,2,0,5,1,0,1,3271.9,3275.2,10.5542,
206,3273.03,2,39,2,1,0,5,1,0,1,3281.52,3287.87,8.49365,
207,3275.46,2,39,2,2,0,5,0,0,1,3293.39,3299.11,17.9258,
208,3277.14,3,39,2,3,0,5,0,0,1,3287.87,3293.39,10.7324,
209,3331.37,1,45,2,1,0,6,0,0,2,3343.01,3347.34,11.6404,
210,3337.85,2,45,2,2,0,6,0,0,2,3347.2,3351.95,9.35645,
211,3369.84,1,48,2,1,0,6,0,0,2,3380.74,3384.46,10.897,
212,3377.9,2,49,2,2,0,6,0,0,2,3387.34,3395.82,9.43994,
213,3383.54,3,50,2,2,0,6,1,0,2,3393.67,3397.86,10.1301,
214,3396.92,2,51,2,1,0,6,1,0,2,3406.15,3408.79,9.22852,
215,3399.79,2,51,2,2,0,6,0,0,2,3409.02,3415.87,9.22852,
216,3405.16,3,52,2,3,0,6,0,0,2,3414.21,3417.56,9.04565,
217,3413.28,3,53,2,2,0,6,1,0,2,3422.5,3429.55,9.21582,
218,3417.53,3,53,2,2,0,6,1,0,2,3428.38,3434.2,10.8528,
219,3419.35,3,53,2,3,0,6,0,0,2,3429.84,3434.17,10.4915,
220,3421.64,4,54,2,4,0,6,0,0,2,3434.17,3439.98,12.5315,
221,3425.6,5,54,2,4,0,6,1,0,2,3436.54,3440.51,10.9402,
222,3443.83,1,56,2,1,0,6,0,0,2,3454.72,3458.8,10.8945,
223,3464.82,1,58,2,1,0,6,0,0,2,3474.25,3479.63,9.42773,
224,3468.47,2,58,2,2,0,6,0,0,2,3478.71,3482.95,10.24,
225,3471.92,3,59,2,3,0,6,0,0,2,3484.69,3488.42,12.7749,
226,3478.32,4,59,2,3,0,6,1,0,2,3487.92,3493.19,9.59985,
227,3480.03,4,60,2,3,0,6,1,0,3,3490.76,3496.75,10.7354,
228,3480.56,5,60,2,4,0,6,1,0,3,3493.19,3498.57,12.6272,
229,3482.87,6,60,2,5,0,6,1,0,3,3491.21,3497.19,8.33374,
230,3489.59,5,60,2,4,0,6,1,0,3,3501.83,3507.11,12.2383,
231,3498.95,2,61,2,2,0,6,0,0,3,3508.69,3512.77,9.7478,
232,3509.07,2,62,2,1,0,6,1,0,4,3517.76,3523.4,8.68799,
233,3513.91,2,63,2,2,0,9,0,0,4,3522.37,3529.78,8.46509,
234,3521.39,3,64,2,2,0,9,1,0,4,3531.43,3534.78,10.0383,
235,3529.94,2,64,2,2,0,9,0,0,4,3539.16,3543.95,9.21582,
236,3530.78,3,65,2,3,0,9,0,0,4,3541.83,3548.56,11.0452,
237,3550.1,1,67,2,1,0,9,0,0,4,3559.29,3567.76,9.19165,
238,3551.15,2,67,2,2,0,9,0,0,4,3562.65,3568.67,11.5002,
239,3552.78,3,67,2,3,0,9,0,0,4,3563.5,3567.04,10.7249,
240,3558.66,4,67,2,4,0,9,0,0,4,3567.16,3570.72,8.50806,
241,3574.92,1,69,2,1,0,9,0,0,4,3588.11,3594.77,13.1973,
242,3574.92,2,69,2,2,0,9,0,0,4,3585.66,3591.84,10.7354,
243,3582.49,3,70,2,3,0,9,0,0,4,3591.31,3597.02,8.81494,
244,3584.45,4,70,2,4,0,9,0,0,4,3592.78,3598.76,8.33374,
245,3594.62,4,71,2,1,0,9,3,0,4,3605.92,3611.77,11.2952,
246,3598.3,3,71,2,2,0,9,1,0,4,3606.79,3612.97,8.49365,
247,3629.42,1,74,2,1,0,9,0,0,4,3638.63,3644.77,9.21509,
248,3641.95,2,76,2,1,0,9,1,0,4,3651.5,3659.3,9.54932,
249,3642.48,3,76,2,2,0,9,1,0,4,3651.96,3656.99,9.47949,
250,3668.06,1,78,2,1,0,9,0,0,4,3678.86,3684,10.8074,
251,3673.35,2,79,2,2,0,9,0,0,4,3683.84,3688.26,10.4846,
252,3688,2,80,2,1,0,9,1,0,4,3696.54,3703.48,8.53809,
253,3708.72,1,82,2,1,0,9,0,0,4,3719.97,3723.8,11.2549,
254,3708.99,2,82,2,2,0,9,0,0,4,3719.6,3724.33,10.613,
255,3712.22,3,83,2,3,0,9,0,0,4,3725,3728.35,12.7749,
